BLAST file	A0A0H2X2I1:97-229 	A0A2S6Z8U1:1-142 
TIR-proteins.versus.ATCC_33913.contig.tblastn	1	0
TIR-proteins.versus.CFBP_1124_Race_8.contig.tblastn	1	0
TIR-proteins.versus.CFBP_1712_Race_5.contig.tblastn	0	0
TIR-proteins.versus.CFBP_1713_Race_5.contig.tblastn	0	0
TIR-proteins.versus.CFBP_4954_Race_6.contig.tblastn	0	0
TIR-proteins.versus.CFBP_4955_Race_9.contig.tblastn	0	0
TIR-proteins.versus.CFBP_5130_Race_7.contig.tblastn	0	0
TIR-proteins.versus.CFBP_5683_Race_3.contig.tblastn	0	0
TIR-proteins.versus.CFBP_6865R_Race_5.contig.tblastn	0	0
TIR-proteins.versus.CN01_Race_1.contig.tblastn	0	0
TIR-proteins.versus.CN10_Race_7.contig.tblastn	0	0
TIR-proteins.versus.WHRI_10018A_Race_1.contig.tblastn	0	0
TIR-proteins.versus.WHRI_10018B_Race_4.contig.tblastn	0	0
TIR-proteins.versus.WHRI_10019A_Race_4.contig.tblastn	0	0
TIR-proteins.versus.WHRI_10019C_Race_4.contig.tblastn	0	0
TIR-proteins.versus.WHRI_10020A_Race_4.contig.tblastn	0	0
TIR-proteins.versus.WHRI_10021A_Race_4.contig.tblastn	0	0
TIR-proteins.versus.WHRI_10021B_Race_1.contig.tblastn	0	0
TIR-proteins.versus.WHRI_10023A_Race_4.contig.tblastn	0	0
TIR-proteins.versus.WHRI_10024A_Race_6.contig.tblastn	1	0
TIR-proteins.versus.WHRI_10030A_Race_5.contig.tblastn	0	0
TIR-proteins.versus.WHRI_10033A_Race_4.contig.tblastn	0	0
TIR-proteins.versus.WHRI_10034B_Race_1.contig.tblastn	0	0
TIR-proteins.versus.WHRI_10035A_Race_4.contig.tblastn	0	0
TIR-proteins.versus.WHRI_10061_Race_4.contig.tblastn	0	0
TIR-proteins.versus.WHRI_10062A_Race_4.contig.tblastn	0	0
TIR-proteins.versus.WHRI_10213_Race_4.contig.tblastn	0	0
TIR-proteins.versus.WHRI_10215A_Race_4.contig.tblastn	0	0
TIR-proteins.versus.WHRI_10217A_Race_4.contig.tblastn	0	0
TIR-proteins.versus.WHRI_3811_Race_1.contig.tblastn	0	0
TIR-proteins.versus.WHRI_3818A_Race_1.contig.tblastn	0	0
TIR-proteins.versus.WHRI_3819A_Race_1.contig.tblastn	0	0
TIR-proteins.versus.WHRI_3820A_Race_4.contig.tblastn	0	0
TIR-proteins.versus.WHRI_3830A_Race_4.contig.tblastn	0	0
TIR-proteins.versus.WHRI_3832A_Race_4.contig.tblastn	0	0
TIR-proteins.versus.WHRI_3836E_Race_4.contig.tblastn	0	0
TIR-proteins.versus.WHRI_3843B_Race_1.contig.tblastn	1	0
TIR-proteins.versus.WHRI_3876_NCPPB_1043_Race_1.contig.tblastn	0	0
TIR-proteins.versus.WHRI_3877_NCPPB_1645_Race_1.contig.tblastn	0	0
TIR-proteins.versus.WHRI_3880_NCPPB_2986_Race_5.contig.tblastn	0	0
TIR-proteins.versus.WHRI_3883_NCPPB_1946_Race_5.contig.tblastn	0	0
TIR-proteins.versus.WHRI_3964_Race_4.contig.tblastn	0	0
TIR-proteins.versus.WHRI_3971A_Race_1.contig.tblastn	0	0
TIR-proteins.versus.WHRI_3973A_Race_1.contig.tblastn	0	0
TIR-proteins.versus.WHRI_3974A_Race_1.contig.tblastn	0	0
TIR-proteins.versus.WHRI_3975A_Race_3.contig.tblastn	1	0
TIR-proteins.versus.WHRI_3977A_Race_1.contig.tblastn	0	0
TIR-proteins.versus.WHRI_5176_Race_1.contig.tblastn	0	0
TIR-proteins.versus.WHRI_5190_Race_4.contig.tblastn	0	0
TIR-proteins.versus.WHRI_5212_NCPPB_528_Race_3.contig.tblastn	1	0
TIR-proteins.versus.WHRI_5485_Race_4.contig.tblastn	0	0
TIR-proteins.versus.WHRI_5487_Race_1.contig.tblastn	0	0
TIR-proteins.versus.WHRI_5494A_Race_1.contig.tblastn	1	0
TIR-proteins.versus.WHRI_5495_Race_1.contig.tblastn	1	0
TIR-proteins.versus.WHRI_5498_Race_1.contig.tblastn	0	0
TIR-proteins.versus.WHRI_5499_Race_1.contig.tblastn	1	0
TIR-proteins.versus.WHRI_5582_Race_4.contig.tblastn	0	0
TIR-proteins.versus.WHRI_5585_Race_4.contig.tblastn	0	0
TIR-proteins.versus.WHRI_5588_Race_4.contig.tblastn	0	0
TIR-proteins.versus.WHRI_5589_Race_4.contig.tblastn	0	0
TIR-proteins.versus.WHRI_5591_Race_1.contig.tblastn	0	0
TIR-proteins.versus.WHRI_5592_Race_1.contig.tblastn	0	0
TIR-proteins.versus.WHRI_5594_Race_1.contig.tblastn	0	0
TIR-proteins.versus.WHRI_5610_Race_1.contig.tblastn	1	0
TIR-proteins.versus.WHRI_5630_Race_1.contig.tblastn	0	0
TIR-proteins.versus.WHRI_5631_Race_1.contig.tblastn	0	0
TIR-proteins.versus.WHRI_5651_Race_4.contig.tblastn	0	0
TIR-proteins.versus.WHRI_5655_Race_4.contig.tblastn	0	0
TIR-proteins.versus.WHRI_5714B_Race_1.contig.tblastn	1	0
TIR-proteins.versus.WHRI_5715A_Race_1.contig.tblastn	1	0
TIR-proteins.versus.WHRI_5732_Race_1.contig.tblastn	1	0
TIR-proteins.versus.WHRI_5733_Race_1.contig.tblastn	1	0
