BioProject	AssemblyAccession	AssemblyName	Organism	SpeciesTaxid	BioSampleAccn	ContigN50	Coverage	Strain	Pathovar	Owner
PRJNA1209959	GCF_051295315.1	ASM5129531v1	Xanthomonas campestris pv. incanae (g-proteobacteria)	339	SAMN46233412	5189114	103	XUMN		University of Minnesota
PRJNA1040293	GCF_033845265.1	ASM3384526v1	Xanthomonas campestris pv. incanae (g-proteobacteria)	339	SAMN38254810	86830	70	I441	incanae	The Ohio State University
PRJNA1040293	GCF_033845225.1	ASM3384522v1	Xanthomonas campestris pv. incanae (g-proteobacteria)	339	SAMN38254812	92453	73	I443	incanae	The Ohio State University
PRJNA1040293	GCF_033845235.1	ASM3384523v1	Xanthomonas campestris pv. incanae (g-proteobacteria)	339	SAMN38254811	94425	100	I442	incanae	The Ohio State University
PRJNA991952	GCF_040194535.2	ASM4019453v2	Xanthomonas campestris pv. armoraciae (g-proteobacteria)	339	SAMN40354514	4978948	300	WHRI 8093	armoraciae	University of Exeter
PRJNA991952	GCF_040194615.2	ASM4019461v2	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908788	5126824	300	WHRI 3892A		University of Exeter
PRJNA991952	GCF_040194835.2	ASM4019483v2	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908783	5009601	300	WHRI 10255		University of Exeter
PRJNA991952	GCF_041520835.1	ASM4152083v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN43286084	182539	90	WHRI 10265	raphani	University of Exeter
PRJNA991952	GCF_041520805.1	ASM4152080v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN43286086	155267	75	WHRI 10268		University of Exeter
PRJNA991952	GCF_041520775.1	ASM4152077v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN43286085	211136	90	WHRI 10266	raphani	University of Exeter
PRJNA991952	GCF_040195375.1	ASM4019537v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908765	124968	174	WHRI 10066A		University of Exeter
PRJNA991952	GCF_040195355.1	ASM4019535v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908766	158263	183	WHRI 10066B		University of Exeter
PRJNA991952	GCF_040195335.1	ASM4019533v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908771	168923	175	WHRI 10069A		University of Exeter
PRJNA991952	GCF_040195315.1	ASM4019531v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908767	156528	183	WHRI 10067A		University of Exeter
